"Health and social care > NHS hospital activity > NHS activity and capacity during the coronavirus (COVID-19) pandemic > NHS hospital admissions by date and patient type"
"NHS hospital admissions by date and patient type"

Filters:
Hospital type: All NHS hospitals
Local Health Board: Wales

"","All admissions ","","All admissions "
"05 June 2022 ",5,564,569
"06 June 2022 ",4,512,516
"07 June 2022 ",4,919,923
"08 June 2022 ",10,1279,1289
"09 June 2022 ",10,1223,1233
"10 June 2022 ",12,1213,1225
"11 June 2022 ",9,1026,1035
"12 June 2022 ",11,578,589
"13 June 2022 ",7,495,502
"14 June 2022 ",15,1215,1230
"15 June 2022 ",15,1215,1230
"16 June 2022 ",11,1195,1206
"17 June 2022 ",13,1202,1215
"18 June 2022 ",17,1068,1085
"19 June 2022 ",20,653,673
"20 June 2022 ",9,558,567
"21 June 2022 ",13,1167,1180
"22 June 2022 ",21,1246,1267
"23 June 2022 ",27,1210,1237
"24 June 2022 ",18,1162,1180
"25 June 2022 ",35,1118,1153
"26 June 2022 ",23,614,637
"27 June 2022 ",8,627,635
"28 June 2022 ",19,941,960
"29 June 2022 ",35,1246,1281
"30 June 2022 ",23,1071,1094
"01 July 2022 ",18,1138,1156
"02 July 2022 ",15,1113,1128
"03 July 2022 ",16,535,551
"04 July 2022 ",15,558,573
"05 July 2022 ",12,1081,1093
"06 July 2022 ",21,1175,1196
"07 July 2022 ",28,1159,1187
"08 July 2022 ",23,1088,1111
"09 July 2022 ",24,1004,1028
"10 July 2022 ",25,624,649
"11 July 2022 ",15,523,538
"12 July 2022 ",28,1054,1082
"13 July 2022 ",28,1170,1198
"14 July 2022 ",28,1130,1158
"15 July 2022 ",24,1131,1155
"16 July 2022 ",28,913,941
"17 July 2022 ",22,571,593
"18 July 2022 ",12,558,570
"19 July 2022 ",19,1099,1118
"20 July 2022 ",26,1078,1104
"21 July 2022 ",25,1019,1044
"22 July 2022 ",24,1033,1057
"23 July 2022 ",29,1027,1056
"24 July 2022 ",19,740,759
"25 July 2022 ",11,547,558
"26 July 2022 ",17,1077,1094
"27 July 2022 ",21,1124,1145
"28 July 2022 ",18,1071,1089
"29 July 2022 ",20,1145,1165
"30 July 2022 ",15,986,1001
"31 July 2022 ",10,544,554
"01 August 2022 ",13,560,573
"02 August 2022 ",18,1074,1092
"03 August 2022 ",21,1107,1128
"04 August 2022 ",9,1097,1106
"05 August 2022 ",20,1131,1151
"06 August 2022 ",13,824,837
"07 August 2022 ",15,560,575
"08 August 2022 ",15,566,581
"09 August 2022 ",13,1139,1152
"10 August 2022 ",15,1099,1114
"11 August 2022 ",17,1071,1088
"12 August 2022 ",19,1071,1090
"13 August 2022 ",14,854,868
"14 August 2022 ",15,583,598
"15 August 2022 ",8,578,586
"16 August 2022 ",10,1143,1153
"17 August 2022 ",15,1271,1286
"18 August 2022 ",12,1256,1268
"19 August 2022 ",5,1226,1231
"20 August 2022 ",12,1101,1113
"21 August 2022 ",6,681,687
"22 August 2022 ",3,563,566
"23 August 2022 ",10,1143,1153
"24 August 2022 ",9,1178,1187
"25 August 2022 ",6,1171,1177
"26 August 2022 ",6,1046,1052
"27 August 2022 ",3,692,695
"28 August 2022 ",5,544,549
"29 August 2022 ",2,524,526
"30 August 2022 ",4,477,481
"31 August 2022 ",4,776,780
"01 September 2022 ",5,1081,1086
"02 September 2022 ",5,1112,1117
"03 September 2022 ",9,1040,1049
"04 September 2022 ",7,571,578
"05 September 2022 ",7,536,543
"06 September 2022 ",7,833,840
"07 September 2022 ",6,1043,1049
"08 September 2022 ",7,1201,1208
"09 September 2022 ",10,1087,1097
"10 September 2022 ",10,1018,1028
"11 September 2022 ",8,604,612
"12 September 2022 ",2,560,562
"13 September 2022 ",8,1163,1171
"14 September 2022 ",8,1106,1114
"15 September 2022 ",9,1167,1176
"16 September 2022 ",14,1186,1200
"17 September 2022 ",14,1018,1032
"18 September 2022 ",10,796,806
"19 September 2022 ",3,565,568
"20 September 2022 ",12,643,655
"21 September 2022 ",5,1161,1166
"22 September 2022 ",8,1137,1145
"23 September 2022 ",10,961,971
"24 September 2022 ",7,883,890
"25 September 2022 ",7,589,596
"26 September 2022 ",3,533,536
"27 September 2022 ",8,1198,1206
"28 September 2022 ",21,1224,1245
"29 September 2022 ",12,1191,1203
"30 September 2022 ",22,1157,1179
"01 October 2022 ",21,1114,1135
"02 October 2022 ",17,570,587
"03 October 2022 ",9,583,592
"04 October 2022 ",26,1193,1219
"05 October 2022 ",16,1234,1250
"06 October 2022 ",24,1167,1191
"07 October 2022 ",27,1150,1177
"08 October 2022 ",20,1135,1155
"09 October 2022 ",9,624,633
"10 October 2022 ",15,607,622
"11 October 2022 ",19,1165,1184
"12 October 2022 ",26,1225,1251
"13 October 2022 ",18,1021,1039
"14 October 2022 ",10,1100,1110
"15 October 2022 ",25,1201,1226
"16 October 2022 ",17,869,886
"17 October 2022 ",8,567,575
"18 October 2022 ",15,962,977
"19 October 2022 ",10,1264,1274
"20 October 2022 ",15,1223,1238
"21 October 2022 ",16,1235,1251
"22 October 2022 ",11,1113,1124
"23 October 2022 ",8,576,584
"24 October 2022 ",7,620,627
"25 October 2022 ",15,964,979
"26 October 2022 ",11,1263,1274
"27 October 2022 ",15,1227,1242
"28 October 2022 ",19,1054,1073
"29 October 2022 ",18,1105,1123
"30 October 2022 ",9,556,565
"31 October 2022 ",6,590,596
"01 November 2022 ",9,1152,1161
"02 November 2022 ",8,1171,1179
"03 November 2022 ",16,711,727
"04 November 2022 ",13,842,855
"05 November 2022 ",8,1021,1029
"06 November 2022 ",11,586,597
"07 November 2022 ",6,822,828
"08 November 2022 ",8,1128,1136
"09 November 2022 ",10,1159,1169
"10 November 2022 ",7,1220,1227
"11 November 2022 ",7,1286,1293
"12 November 2022 ",6,1071,1077
"13 November 2022 ",3,522,525
"14 November 2022 ",3,849,852
"15 November 2022 ",6,1160,1166
"16 November 2022 ",6,1192,1198
"17 November 2022 ",6,1190,1196
"18 November 2022 ",7,1137,1144
"19 November 2022 ",7,1125,1132
"20 November 2022 ",5,876,881
"21 November 2022 ",3,609,612
"22 November 2022 ",7,1133,1140
"23 November 2022 ",8,944,952
"24 November 2022 ",7,1230,1237
"25 November 2022 ",5,952,957
"26 November 2022 ",3,1087,1090
"27 November 2022 ",7,581,588
"28 November 2022 ",6,619,625
"29 November 2022 ",4,1020,1024
"30 November 2022 ",4,942,946
"01 December 2022 ",2,937,939
"02 December 2022 ",12,1201,1213
"03 December 2022 ",3,960,963
"04 December 2022 ",7,528,535
"05 December 2022 ",5,571,576
"06 December 2022 ",18,960,978
"07 December 2022 ",11,1175,1186
"08 December 2022 ",16,1209,1225
"09 December 2022 ",8,1174,1182
"10 December 2022 ",8,951,959
"11 December 2022 ",8,507,515
"12 December 2022 ",11,590,601
"13 December 2022 ",16,1157,1173
"14 December 2022 ",7,1272,1279
"15 December 2022 ",15,1090,1105
"16 December 2022 ",7,692,699
"17 December 2022 ",12,668,680
"18 December 2022 ",6,512,518
"19 December 2022 ",10,637,647
"20 December 2022 ",22,982,1004
"21 December 2022 ",18,842,860
"22 December 2022 ",23,1044,1067
"23 December 2022 ",25,984,1009
"24 December 2022 ",24,994,1018
"25 December 2022 ",15,492,507
"26 December 2022 ",10,443,453
"27 December 2022 ",9,493,502
"28 December 2022 ",11,604,615
"29 December 2022 ",24,1123,1147
"30 December 2022 ",21,851,872
"31 December 2022 ",10,817,827
"01 January 2023 ",16,463,479
"02 January 2023 ",14,514,528
"03 January 2023 ",11,541,552
"04 January 2023 ",23,836,859
"05 January 2023 ",15,912,927
"06 January 2023 ",17,927,944
"07 January 2023 ",11,839,850
"08 January 2023 ",11,645,656
"09 January 2023 ",13,423,436
"10 January 2023 ",11,698,709
"11 January 2023 ",14,1219,1233
"12 January 2023 ",15,1259,1274
"13 January 2023 ",8,729,737
"14 January 2023 ",4,1086,1090
"15 January 2023 ",6,811,817
"16 January 2023 ",2,546,548
"17 January 2023 ",11,1064,1075
"18 January 2023 ",2,1234,1236
"19 January 2023 ",8,1186,1194
"20 January 2023 ",4,1170,1174
"21 January 2023 ",6,1213,1219
"22 January 2023 ",3,562,565
"23 January 2023 ",3,556,559
"24 January 2023 ",0,1137,1137
"25 January 2023 ",4,1238,1242
"26 January 2023 ",5,1144,1149
"27 January 2023 ",4,1281,1285
"28 January 2023 ",4,1189,1193
"29 January 2023 ",4,616,620
"30 January 2023 ",5,612,617
"31 January 2023 ",10,1301,1311
"01 February 2023 ",1,1372,1373
"02 February 2023 ",7,1247,1254
"03 February 2023 ",1,1310,1311
"04 February 2023 ",6,1189,1195
"05 February 2023 ",7,562,569
"06 February 2023 ",7,570,577
"07 February 2023 ",7,1148,1155
"08 February 2023 ",9,1168,1177
"09 February 2023 ",5,1223,1228
"10 February 2023 ",1,1282,1283
"15 February 2023 ",4,1143,1147
"22 February 2023 ",8,1125,1133
"01 March 2023 ",4,1277,1281
"08 March 2023 ",7,1215,1222
"15 March 2023 ",20,1260,1280
"22 March 2023 ",19,1172,1191
"29 March 2023 ",13,1283,1296
"05 April 2023 ",6,1260,1266
"12 April 2023 ",5,1276,1281
"19 April 2023 ",4,1157,1161
"26 April 2023 ",6,1177,1183
"03 May 2023 ",7,1371,1378
"10 May 2023 ",4,1337,1341
"17 May 2023 ",3,1339,1342
"24 May 2023 ",6,1354,1360
"31 May 2023 ",1,1235,1236
"07 June 2023 ",6,1219,1225



Footnotes:
"1","Field hospitals included from 20 April 2020."
"2","Community hospitals included from 23 April 2020."
"3","From 26 May 2020, a new category for recovering COVID-19 patients was introduced. Please see statistical quality section for more information."
"4","From June 2020, hospitals have begun to close some of the surge capacity that had been established to increase the number of patients due to the COVID-19 pandemic."
"5","We are aware that the sum of the columns do not match the total and we are looking into it."
"6","On reporting recovering patients, Aneurin Bevan started reporting recovering patients from 7 June 2020, but these were captured in the confirmed COVID-19 category before."
"7","From 29 June 2020, the guidance changed to explicitly ask health boards to exclude transfers between acute and community hospitals from admissions figures."
"8","Mental health units included from 10 July 2020. Prior to this, some mental health beds may have been included under acute hospitals."
"9","From 19 October, data for specialist critical care beds (such as those in Burns and Plastic in Morriston) and other specialist acute beds (such as maternity) across other acute sites have been included."
"10","From 13 November 2020, only critical care beds that could be staffed were included as available. Previously all critical care beds had been included regardless of whether they could be staffed."
"11","From 16 November 2020, data is included from Grange University Hospital in Aneurin Bevan University Health board. This increased the total number of beds available by around 450 beds."
"12","From 18 January 2021, no patients occupying an invasive ventilated bed (critical care bed) should be counted as 'recovering' COVID-19 patients as they are still requiring a high level of care. Any patient previously reported as 'recovering' are now counted under 'confirmed'."
"13","From 1 February 2021, guidance was reiterated to health boards that patients who were already in hospital and contracted COVID-19, but have now recovered and are back on their original setting, should be reported as non-COVID-19."
"14","From 8 March 2021, Cardiff and Vale University health board aligned their data more closely to the national guidance for SITREP reporting."
"15","To ensure accurate and consistent reporting of COVID-19 recovering patients in the hospitalisations data, all health boards were reminded to follow the national guidance for SITREP reporting, and asked to ensure any necessary changes to their daily reporting were implemented by 12 April 2021."
"16","Cardiff and Vale health board experienced a data processing issue regarding the number of suspected and confirmed COVID-19 patients."
"17","Cardiff and Vale resolved this issue, which has resulted in an additional 7 patients reported as confirmed today."
"18","Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 13 July 2021 due to a data processing issue."
"19","Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 22 July 2021 due to a data processing issue."
"20","Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 23 July 2021 due to a data processing issue."
"21","Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 26 July 2021 due to a data processing issue."
"22","Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 27 July 2021 due to a data processing issue."
"23","Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 28 July 2021 due to a data processing issue."
"24","Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 3 August 2021 due to a data processing issue."
"25","Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 11 August 2021 due to a data processing issue."
"26","Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 27 October 2021 due to a data processing issue."
"27","Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 28 October 2021 due to a data processing issue."
"28","From 18 January 2022, to ensure accurate and consistent reporting of recovering COVID-19 patients, guidance for SITREP reporting was reissued amongst health boards. Health boards were asked to ensure that the downgrading criterion was changed from the patient requiring 14 days post a positive COVID-19 test to requiring 10 days."
"29","Some health boards had incorrectly classified some patients as recovering from COVID-19 rather than as non-COVID patients. These were confirmed COVID-19 patients who had not been actively treated for COVID-19 and had completed 10 days post a positive COVID-19 test. This resulted in a larger number of patients classified as recovering than should have been the case. From 16 February 2022, guidance was reiterated to resolve this, which resulted in a significant fall in patients recovering from COVID-19 and a corresponding increase in non-COVID patients."
"30","From 24 March 2022, health boards have been implementing the updated COVID-19 testing guidance across the hospital estate.  All patients will continue to be tested on admission. However, there is a change for patients who remain asymptomatic during their stay, whereby there is no longer a requirement to test those patients. This will mean that a number of incidental / nosocomial cases will no longer be captured, and this will have an impact on the figures reported."
"31","We are aware of an issue affecting the data received from Swansea Bay University Health Board covering the period from 16 February to 31 March. The data are believed to be an undercount of the true number of hospital beds occupied by COVID-19 related patients. This would mean that the totals presented here for Wales will be lower than the true figures over that period."
"32","An issue with Swansea Bay University Health Board data covering the period from 16 February to 31 March has been resolved. The data were an undercount of the true number of hospital beds occupied by COVID-19 related patients. This meant the totals presented for Wales were lower than the true figures over that period."
"33","Patients admitted as suspected or confirmed with COVID-19"
"Hospital type","Data for acute hospitals are available from 1 April 2020, for field hospitals from 20 April 2020, for community hospitals from 23 April 2020 and mental health hospitals from 10 July 2020."
"Local Health Board","Guidance was issued to local health boards on the completion and submission of the data return. However, data collection may vary slightly between health boards."
".","The data item is not applicable."
Metadata:
"General description","In response to the coronavirus (COVID-19) pandemic, daily information on hospital admissions and hospitalisation has been collected specifically to support transparency and understanding of NHS activity and capacity. Figures show the number of admissions and people in hospital by hospital type, local health board and date. The data are taken from management information and are subject to change. They have not been not been subject to the same validation processes undertaken for official statistics releases."
"Data collection and calculation","Daily situational report (SITREP) from Digital Health and Care Wales (DHCW) at a hospital level and local health board (LHB) level. Data is submitted via a TEXT file and transferred to a SQL database. As the return is sourced from management information, hospital level data are not suitable for publication.

As of the week beginning May 10th, Monday's upload will only include Friday's data and Tuesday's upload will include Saturday, Sunday and Monday's data.  

Admissions are the number of patients admitted to hospital within a 24-hour period from midnight to midnight each day, for example, 00:00 to 23:59 Monday to be reported on a Tuesday. COVID-19 related admissions include COVID-19 suspected or confirmed patients.

A COVID-19 related admission is defined as an emergency admission to any medical specialty and is either: 
.	within 14 days of a positive COVID-19 sample being taken; or
.	where a COVID-19 sample is taken on the first day of the admission, regardless of whether the result is positive or negative

The emergency medical admissions criteria are intended to provide an approximation for suspected COVID-19 patients.  

Patients transferred between hospitals within the same organisation should be excluded from the count of admissions.

The number of COVID-19 related hospitalisations is the number of staffed beds occupied by a patient that satisfies the definition of a 'Confirmed', 'Suspected' or 'Recovering' patient as set out below. 

A patient is defined as 'Confirmed' COVID-19 only following a positive test and will remain until downgrading criteria are met. (See recovering COVID-19 below). 

A patient is defined as 'Suspected' COVID-19 if they are awaiting the result of a test having been admitted as an emergency under a medical specialty or if they become symptomatic following admission for any other reason. This also includes patients testing negative but continuing to display COVID-19 symptoms, patients returning a low level positive test result prior to a retest, and discharged COVID-19 patients readmitted with COVID-19 symptoms prior to a retest.

A patient is defined as 'Recovering' COVID-19 if either they have a negative test result as confirmation of transition to recovering COVID or they meet the following criteria: 

.	completed 10 days post a positive COVID-19 test; and
.	shown clinical improvement in their condition, with at least some respiratory recovery; and
.	had no fever (> 37.8°C) for 48 hours; and
.	no underlying severe immunosuppression

A 'Non-COVID-19' related patient is a patient that does not satisfy any of the suspected, confirmed or recovering COVID-19 criteria described above. Where a patient has acquired a COVID-19 infection during their hospital stay and subsequently meets the downgrading criteria set out above, they should be reported as non-COVID-19."
"Frequency of publication","Daily"
"Data reference periods","1 April 2020 onwards. Following further validation, data coverage prior to April 2020 was decided to not be suitable for publication. As the data collection was set up in response to the COVID-19 pandemic, not all health boards were able to provide all of the information in the first week of data collection."
"Revisions information","Historic data are subject to revision at any point as hospitals can re-submitted a return anytime, and therefore may differ to that previously published information."
"Title","NHS hospital admissions and hospitalisation by local health board, hospital type and date"
"Last update","8 June 2023"
"Next update","15 June 2023"
"Source 1","Digital Health and Care Wales (DHCW)"
"Contact email","kas.covid19@gov.wales"
"Designation","Management information"
"Lowest level of geographical disaggregation","Local health boards"
"Geographical coverage","Wales"
"Languages covered","English and Welsh"
"Data licensing","You may use and re-use this data free of charge in any format or medium, under the terms of the Open Government License - see http://www.nationalarchives.gov.uk/doc/open-government-licence"
"Statistical quality","The health minister announced on 13 March 2020 that all non-urgent activity should stop to prepare for the pandemic. 

Figures include data from acute hospitals from 1 April 2020, field hospitals from 20 April 2020, community hospitals from 23 April 2020, mental health units from 10 July, and exclude data from private hospitals. Mental health units' data are submitted each Friday, and the Friday position is used as proxy for the following week, unless there is a major change in circumstances. 

Data for Powys is only available from 23 April 2020 when community hospitals were included as it does not have acute hospitals. 

COVID-19 related hospitalisations include patients with confirmed, suspected and recovering from COVID-19. Recovering patients was a category introduced on 26 May 2020 to capture patients who were COVID-19 positive in hospital and who showed no symptoms for 14+ days but remained in hospital on a COVID-19 treatment pathway, often for rehabilitation. Aneurin Bevan started reporting recovering patients from 7 June 2020, but these were captured in the confirmed COVID-19 category before. Cardiff and Vale classified recovering patients as non-COVID-19 patients between 1 May and 22 May 2020. Following the change in guidance, Cardiff and Vale re-categorised these patients as COVID-19 patients, capturing them in the confirmed COVID-19 category until the recovering category was introduced on 26 May 2020. 

From June 2020, hospitals started to close some of the additional surge capacity that was previously put in place for the COVID-19 pandemic. 

Following the re-introduction of elective procedures from June 2020, patients admitted for elective procedures suspected of having COVID-19 were initially captured in COVID-19 related admissions, even if they received a negative test later. This inflated the numbers of suspected cases in hospital at the time of reporting. 

From 29 June 2020, patients admitted for elective procedures were only included in COVID-19 related admissions if they received a positive COVID-19 test result on arrival at the hospital. 

From 29 June 2020, the guidance changed to explicitly ask health boards to exclude transfers between acute and community hospitals from admissions figures. Prior to this, some transfers may have been captured as new admissions.

From 3 July 2020, guidance was updated to only include emergency admissions in the COVID-19 related admissions figures.

Data from mental health units were included retroactively from 10 July 2020 for the first time in the release on 20 August 2020. The inclusion of mental health beds had a small impact on beds occupied with COVID-19 patients' figures but a large impact on all beds occupied with non-COVID19 patients and vacant beds, as the majority of mental health beds are not occupied by COVID-19 patients. Mental health units' data are submitted each Friday, and the Friday position is used as proxy for the following week, unless there is a major change in circumstances.

Prior to 10 July 2020, Cardiff and Vale and Cwm Taf Morgannwg health boards captured some mental health bed figures in their acute hospitals figures. 

From 19 October 2020 specialist critical care beds and specialist acute beds have been included in these figures. These beds have been included in the data as they are part of the available bed stock, and may be used for COVID-19 patients in exceptional circumstances. 

From 13th November 2020, only critical care beds that could be staffed should be included as available. Previously, all critical care beds had been included, regardless of whether they could be staffed. However, not all health boards implemented this change on that date. Following and update to guidance, more local health boards implemented this change from 4 December 2020.

From 16 November 2020, data is included from the Grange University Hospital in Aneurin Bevan University Health board. This increased the total number of beds available by around 450 beds.

From 18 January 2021, no patients occupying an invasive ventilated bed (critical care bed) should be counted as 'recovering' COVID-19 patients. Any patient previously reported as 'recovering' will now be counted under 'confirmed'. This resulted in an increase in the number of invasive ventilated beds occupied by 'confirmed' COVID-19 patients and no invasive ventilated beds showing as occupied by 'recovering' patients. This change had no impact on the total number of COVID-19 related patients.

From 1 February 2021, guidance was reiterated to health boards that patients who were already in hospital and contracted COVID-19, but have now recovered and are back on their original setting, should be reported as non-COVID-19. This may have affected a small number of patients who are in acute hospitals or mental health settings and may have resulted in a decrease in recovering patients and an increase in non-COVID-19 patients.

From 8 March 2021, Cardiff and Vale University health board aligned their data more closely to the national guidance for SITREP reporting. This change had a small impact on the hospitalisation figures, which resulted in a small increase in the number of confirmed COVID-19 patients and a small decrease in the number of recovering COVID-19 patients.

To ensure accurate and consistent reporting of Covid-19 recovering patients in the hospitalisations data, all health boards have been reminded to follow the national guidance for SITREP reporting, and were asked to ensure any necessary changes to their daily reporting were implemented 12 April 2021. Contrary to the guidance, some health boards were counting long stay patients who had fully recovered from COVID-19 in the COVID-19 recovering category, rather than the non-COVID-19 category, which inflated the number of COVID-19 recovering patients. This resulted in a step-change decrease in the number of recovering patients (a decrease of around 123 patients at the point of implementation). Whilst the impact was seen across most health boards it mainly impacted the Swansea Bay University Health Board.

Please note that Betsi Cadwaladr UHB were unable to supply data on the number of patients admitted to Ysbyty Glan Clwyd for 13, 22, 23, 26, 27, 28 July 2021, 3, 11 August 2021 and 27, 28 October 2021 due to a data processing issue.

From 18 January 2022, to ensure accurate and consistent reporting of recovering COVID-19 patients, guidance for SITREP reporting was reissued amongst health boards. Health boards were asked to ensure that the downgrading criterion was changed from the patient requiring 14 days post a positive COVID-19 test to requiring 10 days.

Some health boards had incorrectly classified some patients as recovering from COVID-19 rather than as non-COVID patients. These were confirmed COVID-19 patients who had not been actively treated for COVID-19 and had completed 10 days post a positive COVID-19 test. This resulted in a larger number of patients classified as recovering than should have been the case. From 16 February 2022, guidance was reiterated to resolve this, which resulted in a significant fall in patients recovering from COVID-19 and a corresponding increase in non-COVID patients.

From 24 March 2022, health boards have been implementing the updated COVID-19 testing guidance across the hospital estate.  All patients will continue to be tested on admission. However, there is a change for patients who remain asymptomatic during their stay, whereby there is no longer a requirement to test those patients. This will mean that a number of incidental / nosocomial cases will no longer be captured, and this will have an impact on the figures reported.

We are aware of an issue affecting the data received from Swansea Bay University Health Board covering the period from 16 February to 31 March. The data are believed to be an undercount of the true number of hospital beds occupied by COVID-19 related patients. This would mean that the totals presented here for Wales will be lower than the true figures over that period. Colleagues at Swansea Bay University Health Board are working to resolve the issue and re-submit revised data for the full period affected.

17 May 2022 - An issue with Swansea Bay University Health Board data covering the period from 16 February to 31 March has been resolved. The data were an undercount of the true number of hospital beds occupied by COVID-19 related patients. This meant the totals presented for Wales were lower than the true figures over that period."
"Keywords","COVID-19, Coronavirus, NHS, patients, beds, hospital"
"Weblinks","https://gov.wales/nhs-activity-and-capacity-during-coronavirus-covid-19-pandemic

Please see the Chief Statistician's blog for more information on data quality generally. 

https://digitalanddata.blog.gov.wales/2020/06/04/chief-statisticians-update-measuring-people-in-hospital-and-some-thoughts-on-data-quality/

Please see the UK Government COVID-19 dashboard for information on healthcare at a UK level: 

https://coronavirus.data.gov.uk/healthcare"
